"block_1","block_2","block_3","name","random_1","random_2","random_3","unique","db_1_unique","db_1_null","db_2_unique","db_2_null","db_3_unique","db_3_null","max","min","null_count","path","size","top_1_percent","top_1_value","top_2_percent","top_2_value","top_3_percent","top_3_value","zero_count"
"....................","....................","....................","Generico_1/3_A�o.integer",2010,2011,2013,9,1,"0",1,"0",1,"0",2015,2007,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/3_A�o.integer",20660895,13.2,2011,12.5,2014,12.3,2012,"0"
"...x..xx.x..xxx..xxx","........x........xx.","xxxxxxxxxxx.x....x.x","Generico_1/12_De_Npags.integer",9,7,8,264,50,"0",53,"0",48,"0",349,-99,1047,"/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/12_De_Npags.integer",20660895,10.5,"0.0",9.7,6,9.5,7,2176995
"....................","....................","....................","Generico_1/28_Number of Records.integer",1,1,1,1,1,"0",1,"0",1,"0",1,1,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/28_Number of Records.integer",20660895,100,1,"None","nan","None","nan","0"
"xxxxxxxxxxxxxxxxxxxx","xxxxxxxxxxxxxxxxxxxx","xxxxxxxxxxxxxxxxxxxx","Generico_1/21_Hora_Pagina.integer",204900,74800,114500,1705,1538,1996,1538,2523,1541,1848,255900,-63,755408,"/data/mt-compression/code/tools/datasets/formatted/Generico/1/Generico_1/21_Hora_Pagina.integer",20660895,"0.2",180000,"0.2",7,"0.2",130000,"0"
"....................",".xxxxxxxxxxx.xx.xxxx","x..x..x.x.....x.....","Generico_2/30_Posicion_Edicion.integer","0.0",1,7,379,281,"0",340,"0",168,"0",1136,"0.0",28709,"/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/30_Posicion_Edicion.integer",23365928,18.6,1,12.7,2,11.2,3,1674606
"....................","....................","....................","Generico_2/33_SEMANA.integer",48,2,29,53,3,"0",3,"0",3,"0",53,1,76864,"/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/33_SEMANA.integer",23365928,2.5,30,2.4,29,2.4,31,"0"
"....................","....................","....................","Generico_2/13_Dia_Semana.integer",6,5,1,135,7,"0",7,"0",7,"0",134,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/13_Dia_Semana.integer",23365928,15.5,5,15.4,3,15.3,4,7865
"....................","....................","....................","Generico_2/27_NumAnuncios.integer",1,1,1,2,1,"0",1,"0",1,"0",2,1,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/27_NumAnuncios.integer",23365928,100,1,"0.0",2,"None","nan","0"
"....x....xxx..x.xxxx","xxxx....xx..........","xxxxxx.....x..xxxxxx","Generico_2/11_Corte.integer",1,1,2,616,36,"0",39,"0",49,"0",838,"0.0",28594,"/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/11_Corte.integer",23365928,17.7,"0.0",16.7,1,15.7,2,4145892
"....................","....................","....................","Generico_2/8_Cols.integer","0.0","0.0","0.0",21,10,"0",11,"0",11,"0",68,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/8_Cols.integer",23365928,97.1,"0.0",1.2,6,"0.5",3,22687060
"....................","....................","....................","Generico_2/29_Plgs.integer","0.0","0.0","0.0",24,16,"0",16,"0",14,"0",98,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/29_Plgs.integer",23365928,97.1,"0.0",1,8,"0.7",4,22687060
"....................","x......xxxxxxxxxxxxx","xxxxxxxxxxxxxxxxxxxx","Generico_2/7_Codigo.integer",6946,122110,426271,1430639,8286,"0",7458,"0",9640,"0",1882408,5,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/7_Codigo.integer",23365928,2.5,10555,2.5,13696,2.1,33017,"0"
"xxxxxx..x..xx..xx.xx","x..x.xxx.xxx.xx....x","xxxx.xxxxxxxxx..xxxx","Generico_2/15_Duracion.integer",10,10,20,1036,241,"0",141,"0",218,"0",3607,"0.0",9,"/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/15_Duracion.integer",23365928,22.2,30,12,"0.0",9.9,20,2797969
"NNNNNNNNxxx.NNNNNNNN","NNNNNNNNNNNNxxxxNx..",".......x.........xx.","Generico_2/14_Disco.integer","nan","nan",256,346,73,17072,59,21739,99,17811,351,"0.0",7263844,"/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/14_Disco.integer",23365928,3.9,47,3.7,29,2.6,30,74426
"....................","....................","....................","Generico_2/3_A�o.integer",2008,2012,2012,9,1,"0",2,"0",1,"0",2015,2007,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/3_A�o.integer",23365928,14.3,2015,11.7,2011,11.1,2014,"0"
"xxx.xxx.xxxxxxx.x.x.","x...................","xx.xx.x.xxxxxxxxxx.x","Generico_2/12_De_Npags.integer",9,"0.0",15,278,62,"0",58,"0",54,"0",352,-99,1052393,"/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/12_De_Npags.integer",23365928,9.6,"0.0",9.1,6,9.1,7,2237980
"....................","....................","....................","Generico_2/28_Number of Records.integer",1,1,1,1,1,"0",1,"0",1,"0",1,1,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/28_Number of Records.integer",23365928,100,1,"None","nan","None","nan","0"
"xxxxxxxxxxxxxxxxxxxx","xxxxxxxxxxxxxxxxxxxx","xxxxxxxxxxxxxxxxxxxx","Generico_2/21_Hora_Pagina.integer",110005,115240,82800,79773,39394,"0",39500,"0",1514,3753,255940,-63,780015,"/data/mt-compression/code/tools/datasets/formatted/Generico/2/Generico_2/21_Hora_Pagina.integer",23365928,"0.2",180000,"0.2",7,"0.2",4,"0"
"x.xxx.xxxxxx.xx.xx.x","..xxxxxxxxxxxxxxxxxx","xxx..x.xxxx.xxx.xxxx","Generico_5/30_Posicion_Edicion.integer",5,1,4,379,194,"0",198,"0",58,"0",1136,"0.0",28709,"/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/30_Posicion_Edicion.integer",23365928,18.6,1,12.7,2,11.2,3,1674606
"....................","....................","....................","Generico_5/33_SEMANA.integer",28,44,30,53,3,"0",3,"0",3,"0",53,1,76864,"/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/33_SEMANA.integer",23365928,2.5,30,2.4,29,2.4,31,"0"
"....................","....................","....................","Generico_5/13_Dia_Semana.integer",5,4,6,135,7,"0",7,"0",7,"0",134,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/13_Dia_Semana.integer",23365928,15.5,5,15.4,3,15.3,4,7865
"....................","....................","....................","Generico_5/27_NumAnuncios.integer",1,1,1,2,1,"0",1,"0",1,"0",2,1,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/27_NumAnuncios.integer",23365928,100,1,"0.0",2,"None","nan","0"
"xxxx..xx..x.xxxxxxxx",".x...x.x.x.x...x.x.x","....................","Generico_5/11_Corte.integer",3,4,"0.0",616,38,"0",38,"0",75,"0",838,"0.0",28594,"/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/11_Corte.integer",23365928,17.7,"0.0",16.7,1,15.7,2,4145892
"....................","....................","................xx..","Generico_5/8_Cols.integer","0.0","0.0",6,21,13,"0",11,"0",11,"0",68,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/8_Cols.integer",23365928,97.1,"0.0",1.2,6,"0.5",3,22687060
"....................","....................","....................","Generico_5/29_Plgs.integer","0.0","0.0","0.0",24,16,"0",16,"0",10,"0",98,"0.0","0","/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/29_Plgs.integer",23365928,97.1,"0.0",1,8,"0.7",4,22687060
"x........xxxx.xxx...",".................xxx","xxxxxx.xxxx..xxxx.xx","Generico_5/7_Codigo.integer",7246,3920,91713,1430639,7342,"0",8217,"0",8156,"0",1882408,5,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/7_Codigo.integer",23365928,2.5,10555,2.5,13696,2.1,33017,"0"
".................xx.","..x..............x..","..........x.x...x...","Generico_5/15_Duracion.integer","0.0",35,17,1036,202,"0",137,"0",144,"0",3607,"0.0",9,"/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/15_Duracion.integer",23365928,22.2,30,12,"0.0",9.9,20,2797969
"xxNNNxNxxx...x..x.x.","xxxxx..x.xxx..xxxxxx","...............x....","Generico_5/14_Disco.integer",209,214,27,346,54,22665,59,18205,83,26114,351,"0.0",7263844,"/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/14_Disco.integer",23365928,3.9,47,3.7,29,2.6,30,74426
"....................","....................","....................","Generico_5/3_A�o.integer",2011,2013,2014,9,1,"0",1,"0",1,"0",2015,2007,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/3_A�o.integer",23365928,14.3,2015,11.7,2011,11.1,2014,"0"
"xxxx.x.xx...xxxxx.xx","x.xx.xx.xxxxxxx.....","xxx.x.xxx.x.x.x...x.","Generico_5/12_De_Npags.integer",23,72,6,278,56,"0",63,"0",57,"0",352,-99,1052393,"/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/12_De_Npags.integer",23365928,9.6,"0.0",9.1,6,9.1,7,2237980
"....................","....................","....................","Generico_5/28_Number of Records.integer",1,1,1,1,1,"0",1,"0",1,"0",1,1,"0","/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/28_Number of Records.integer",23365928,100,1,"None","nan","None","nan","0"
"xxxxxxxxxxxxxxxxxxxx",".x.x.x.xx.x.xxxxxxxx","xxxxxxxxxxxxxxxxxxxx","Generico_5/21_Hora_Pagina.integer",155800,143700,153200,79773,1566,1532,1522,2844,1523,"0",255940,-63,780015,"/data/mt-compression/code/tools/datasets/formatted/Generico/5/Generico_5/21_Hora_Pagina.integer",23365928,"0.2",180000,"0.2",7,"0.2",4,"0"
