block_1_average_length	block_1_block	block_1_max_length	block_1_min_length	block_1_null_count	block_1_top_1_percent	block_1_top_1_value	block_1_top_2_percent	block_1_top_2_value	block_1_top_3_percent	block_1_top_3_value	block_1_unique_count	block_1_zero_count	block_2_average_length	block_2_block	block_2_max_length	block_2_min_length	block_2_null_count	block_2_top_1_percent	block_2_top_1_value	block_2_top_2_percent	block_2_top_2_value	block_2_top_3_percent	block_2_top_3_value	block_2_unique_count	block_2_zero_count	block_3_average_length	block_3_block	block_3_max_length	block_3_min_length	block_3_null_count	block_3_top_1_percent	block_3_top_1_value	block_3_top_2_percent	block_3_top_2_value	block_3_top_3_percent	block_3_top_3_value	block_3_unique_count	block_3_zero_count	col_average_length	col_id	col_max_length	col_min_length	col_null_count	col_top_1_percent	col_top_1_value	col_top_2_percent	col_top_2_value	col_top_3_percent	col_top_3_value	col_unique_count	col_zero_count
4.000000	..x................	5	5	2	0.258469	15:30	0.241546	15:00	0.226161	07:00	1293	0	4.000000	............x......	5	5	2	0.258469	15:30	0.241546	15:00	0.226161	07:00	1293	0	4.000000	..x................	5	5	2	0.258469	15:30	0.241546	15:00	0.226161	07:00	1293	0	4.000000	/TrainsUK2_1/31_c_Origin Time (GBTT) (copy)	5	5	85	0.245590	07:00	0.221737	16:00	0.212053	17:30	1437	0
23.000000	xxxxxxxxxxxxxxxxxxx	24	17	1	0.001538	231R9517042342125701EA02					64999	0	23.000000	xxxxxxxxxxxxxxxxxxx	24	17	1	0.001538	231R9517042342125701EA02					64999	0	23.000000	xxxxxxxxxxxxxxxxxxx	24	17	1	0.001538	231R9517042342125701EA02					64999	0	23.000000	/TrainsUK2_1/30_v_Unique Train ID	24	17	1	0.000167	172V48MU121713217055ED05	0.000161	731B79MX067300079304EF02	0.000154	852A39MU188572185711EF12	1981484	0
19.000000	xxxxxxxxxxx.xxxxxxx	42	3	1	4.446222	Strathclyde Electric	3.927753	Kent Metro Off-Peak	3.733904	South London Lines (Off Peak)	117	0	19.000000	xxxxxxxxxxx.x.xxxxx	42	3	1	4.446222	Strathclyde Electric	3.927753	Kent Metro Off-Peak	3.733904	South London Lines (Off Peak)	117	0	19.000000	xxxxxxxxxxxxxxxxxxx	42	3	1	4.446222	Strathclyde Electric	3.927753	Kent Metro Off-Peak	3.733904	South London Lines (Off Peak)	117	0	19.000000	/TrainsUK2_1/18_Service Group Description	42	3	1	4.609660	Strathclyde Electric	4.399350	Kent Metro Off-Peak	3.536531	South London Lines (Off Peak)	120	0
9.000000	xxxxxxxxxxxxxxxxxxx	10	8	1	0.003077	622O03M503	0.001538	872H63M704			64219	0	9.000000	xxxxxxxxxxxxxxxxxxx	10	8	1	0.003077	622O03M503	0.001538	872H63M704			64219	0	9.000000	xxxxxxxxxxxxxxxxxxx	10	8	1	0.003077	622O03M503	0.001538	872H63M704			64219	0	9.000000	/TrainsUK2_1/20_Train ID	10	8	1	0.000334	872O26MF11	0.000328	872O86MU20	0.000321	872O54MM23	1613781	0
35.000000	xxxxxxxxxxxxxxxxxxx	71	17	1	0.515393	2P - Stourbridge Jn (Town Plat) to Stourbridge Town	0.512316	2P - Stourbridge Town to Stourbridge Jn (Town Plat)	0.455392	2W - London Liverpool Street to Shenfield	3086	0	35.000000	xxxxxxxxxxxxxxxxxxx	71	17	1	0.515393	2P - Stourbridge Jn (Town Plat) to Stourbridge Town	0.512316	2P - Stourbridge Town to Stourbridge Jn (Town Plat)	0.455392	2W - London Liverpool Street to Shenfield	3086	0	35.000000	xxxxxxxxxxxxxxxxxxx	71	17	1	0.515393	2P - Stourbridge Jn (Town Plat) to Stourbridge Town	0.512316	2P - Stourbridge Town to Stourbridge Jn (Town Plat)	0.455392	2W - London Liverpool Street to Shenfield	3086	0	35.000000	/TrainsUK2_1/33_Calculation_4220604162631191	71	17	1	0.482490	2P - Stourbridge Town to Stourbridge Jn (Town Plat)	0.470203	2W - London Liverpool Street to Shenfield	0.452770	2W - Shenfield to London Liverpool Street	14346	0
4.000000	...................	5	5	2	0.258469	15:30	0.241546	15:00	0.226161	07:00	1293	0	4.000000	.x.....x...........	5	5	2	0.258469	15:30	0.241546	15:00	0.226161	07:00	1293	0	4.000000	........x..........	5	5	2	0.258469	15:30	0.241546	15:00	0.226161	07:00	1293	0	4.000000	/TrainsUK2_1/34_Calculation_5580608170646388	5	5	85	0.245590	07:00	0.221737	16:00	0.212053	17:30	1437	0
13.000000	xxxxxxxxxxxxxxxxxxx	31	3	1	3.535439	London Waterloo	3.152356	London Victoria	2.486192	London Liverpool Street	588	0	13.000000	xxxxxxxxxxxxxxxxxxx	31	3	1	3.535439	London Waterloo	3.152356	London Victoria	2.486192	London Liverpool Street	588	0	13.000000	xxxxxxxxxxxx.xxxxxx	31	3	1	3.535439	London Waterloo	3.152356	London Victoria	2.486192	London Liverpool Street	588	0	13.000000	/TrainsUK2_2/11_Planned Orig Stanox Description	31	3	1	3.398526	London Waterloo	3.132412	London Victoria	2.896225	London Liverpool Street	979	0
2.000000	x.x.xxx.....x.x....	8	1	1	53.911599	LSE	28.120433	R	10.283235	S	5	0	2.000000	.xx.xxxxxxx.x.xx.xx	8	1	1	53.911599	LSE	28.120433	R	10.283235	S	5	0	2.000000	xxx..xx..xxxxx.x.x.	8	1	1	53.911599	LSE	28.120433	R	10.283235	S	5	0	2.000000	/TrainsUK2_2/29_v_Sector	8	1	1	55.388222	LSE	26.786930	R	10.277535	S	6	0
2.000000	xxxx..xxxxxxxx..xxx	8	2	1	12.041724	ED	10.738627	HW	10.283235	HA	23	0	2.000000	xxxxxxxx.xxxxxx.xxx	8	2	1	12.041724	ED	10.738627	HW	10.283235	HA	23	0	2.000000	xxx..xxxxxxxxxxxxxx	8	2	1	12.041724	ED	10.738627	HW	10.283235	HA	23	0	2.000000	/TrainsUK2_2/5_Operator	8	2	1	11.412354	ED	10.279926	HW	10.277535	HA	24	0
3.000000	xxxxxxxxxxxxxxxxxxx	4	4	1	0.092309	2N12	0.090771	2K24	0.089232	2N10	4991	0	3.000000	xxxxxxxxxxxxxxxxxxx	4	4	1	0.092309	2N12	0.090771	2K24	0.089232	2N10	4991	0	3.000000	xxxxxxxxxxxxxxxxxxx	4	4	1	0.092309	2N12	0.090771	2K24	0.089232	2N10	4991	0	3.000000	/TrainsUK2_2/35_Calculation_6080608165132814	4	4	1	0.084393	2N10	0.081546	2D44	0.078577	2N12	6112	0
4.000000	xxxxxxxxxxxxxxxxxxx	18	4	1	4.438530	HA06	3.927753	HU02	3.735442	HW04	117	0	4.000000	xxxxxxxxxxxxxxxx.xx	18	4	1	4.438530	HA06	3.927753	HU02	3.735442	HW04	117	0	4.000000	xxxxxxxxxxxxxxxxxxx	18	4	1	4.438530	HA06	3.927753	HU02	3.735442	HW04	117	0	4.000000	/TrainsUK2_2/17_Service Group Code	18	4	1	4.609660	HA06	4.399350	HU02	3.536531	HW04	120	0
11.000000	...................	23	11	1	99.998462	2013/14_P01	0.001538	Financial Year & Period			2	0	11.000000	...................	23	11	1	99.998462	2013/14_P01	0.001538	Financial Year & Period			2	0	11.000000	...................	23	11	1	99.998462	2013/14_P01	0.001538	Financial Year & Period			2	0	11.000000	/TrainsUK2_2/3_Financial Year & Period	23	11	1	3.870124	2013/14_P13	3.658933	2014/15_P05	3.644777	2014/15_P12	29	0
13.000000	xxxxxxxxxxxxxxxxxxx	31	3	1	3.632364	London Waterloo	3.190818	London Victoria	2.663118	London Liverpool Street	548	0	13.000000	xxxxxxxxxxxxxxxxxxx	31	3	1	3.632364	London Waterloo	3.190818	London Victoria	2.663118	London Liverpool Street	548	0	13.000000	xxxxxxxxxxxxxxxxxxx	31	3	1	3.632364	London Waterloo	3.190818	London Victoria	2.663118	London Liverpool Street	548	0	13.000000	/TrainsUK2_2/8_Planned Dest Stanox Description	31	3	1	3.388501	London Waterloo	3.108103	London Victoria	2.930977	London Liverpool Street	948	0
4.000000	.......x...x....x..	5	5	2	0.312317	07:00	0.258469	15:30	0.256931	07:30	1293	0	4.000000	....x..............	5	5	2	0.312317	07:00	0.258469	15:30	0.256931	07:30	1293	0	4.000000	.....x.............	5	5	2	0.312317	07:00	0.258469	15:30	0.256931	07:30	1293	0	4.000000	/TrainsUK2_2/31_c_Origin Time (GBTT) (copy)	5	5	85	0.245590	07:00	0.221737	16:00	0.212053	17:30	1437	0
23.000000	xxxxxxxxxxxxxxxxxxx	24	17	1	0.001538	032G52MG050325604718HA02					64999	0	23.000000	xxxxxxxxxxxxxxxxxxx	24	17	1	0.001538	032G52MG050325604718HA02					64999	0	23.000000	xxxxxxxxxxxxxxxxxxx	24	17	1	0.001538	032G52MG050325604718HA02					64999	0	23.000000	/TrainsUK2_2/30_v_Unique Train ID	24	17	1	0.000167	871D53MW078721287687HY01	0.000161	731B79MX067300079304EF02	0.000154	622V51MI128724587671ET03	1981484	0
19.000000	xxxxxxxxx.xxxxxxxxx	42	3	1	4.438530	Strathclyde Electric	3.927753	Kent Metro Off-Peak	3.735442	South London Lines (Off Peak)	117	0	19.000000	xxxxxxxxxxxxxxxxxxx	42	3	1	4.438530	Strathclyde Electric	3.927753	Kent Metro Off-Peak	3.735442	South London Lines (Off Peak)	117	0	19.000000	xxxxxxxxxxxxxxxxxxx	42	3	1	4.438530	Strathclyde Electric	3.927753	Kent Metro Off-Peak	3.735442	South London Lines (Off Peak)	117	0	19.000000	/TrainsUK2_2/18_Service Group Description	42	3	1	4.609660	Strathclyde Electric	4.399350	Kent Metro Off-Peak	3.536531	South London Lines (Off Peak)	120	0
9.000000	xxxxxxxxxxxxxxxxxxx	10	8	1	0.003077	882D93M604	0.001538	362S18MG05			64236	0	9.000000	xxxxxxxxxxxxxxxxxxx	10	8	1	0.003077	882D93M604	0.001538	362S18MG05			64236	0	9.000000	xxxxxxxxxxxxxxxxxxx	10	8	1	0.003077	882D93M604	0.001538	362S18MG05			64236	0	9.000000	/TrainsUK2_2/20_Train ID	10	8	1	0.000334	872O26MF11	0.000328	872O86MU20	0.000321	872O20MY23	1613781	0
35.000000	xxxxxxxxxxxxxxxxxxx	71	17	1	0.513854	2P - Stourbridge Jn (Town Plat) to Stourbridge Town	0.510777	2P - Stourbridge Town to Stourbridge Jn (Town Plat)	0.452315	2W - London Liverpool Street to Shenfield	3085	0	35.000000	xxxxxxxxxxxxxxxxxxx	71	17	1	0.513854	2P - Stourbridge Jn (Town Plat) to Stourbridge Town	0.510777	2P - Stourbridge Town to Stourbridge Jn (Town Plat)	0.452315	2W - London Liverpool Street to Shenfield	3085	0	35.000000	xxxxxxxxxxxxxxxxxxx	71	17	1	0.513854	2P - Stourbridge Jn (Town Plat) to Stourbridge Town	0.510777	2P - Stourbridge Town to Stourbridge Jn (Town Plat)	0.452315	2W - London Liverpool Street to Shenfield	3085	0	35.000000	/TrainsUK2_2/33_Calculation_4220604162631191	71	17	1	0.482490	2P - Stourbridge Town to Stourbridge Jn (Town Plat)	0.470203	2W - London Liverpool Street to Shenfield	0.452770	2W - Shenfield to London Liverpool Street	14346	0
4.000000	...................	5	5	2	0.312317	07:00	0.258469	15:30	0.256931	07:30	1293	0	4.000000	.....x.............	5	5	2	0.312317	07:00	0.258469	15:30	0.256931	07:30	1293	0	4.000000	...................	5	5	2	0.312317	07:00	0.258469	15:30	0.256931	07:30	1293	0	4.000000	/TrainsUK2_2/34_Calculation_5580608170646388	5	5	85	0.245590	07:00	0.221737	16:00	0.212053	17:30	1437	0
50.000000	...................	52	18	0	4.729231	http://204.51.113.172/videosgt/CB/DISCO/33017.wmv	3.669231	http://204.51.113.172/videosgt/TV/DISCO/6946.wmv	2.932308	http://204.51.113.172/videosgt/TV/DISCO/36088.wmv	4696	0	50.000000	xxxxx.x.x.........x	52	18	0	4.729231	http://204.51.113.172/videosgt/CB/DISCO/33017.wmv	3.669231	http://204.51.113.172/videosgt/TV/DISCO/6946.wmv	2.932308	http://204.51.113.172/videosgt/TV/DISCO/36088.wmv	4696	0	50.000000	.x.........xxx.xx..	52	18	0	4.729231	http://204.51.113.172/videosgt/CB/DISCO/33017.wmv	3.669231	http://204.51.113.172/videosgt/TV/DISCO/6946.wmv	2.932308	http://204.51.113.172/videosgt/TV/DISCO/36088.wmv	4696	0	52.000000	/Generico_4/38_VER ANUNCIO	77	15	76864	2.053225	http://204.51.113.172/videosgt/CB/DISCO/33017.wmv	1.687569	http://204.51.113.172/videosgt/TV/DISCO/13696.wmv	1.687294	http://204.51.113.172/videosgt/TV/DISCO/10555.wmv	1655670	0
0.000000	NNNNNNNNNNNNNNNNNNN	15	0	64169	55.234657	Prensa Libre	17.087846	Nuestro Diario	13.959085	Siglo Veintiuno	5	0	0.000000	NNNNNNNNNNNNNNNNNNN	15	0	64169	55.234657	Prensa Libre	17.087846	Nuestro Diario	13.959085	Siglo Veintiuno	5	0	0.000000	...x.....xx.....xx.	15	5	64169	55.234657	Prensa Libre	17.087846	Nuestro Diario	13.959085	Siglo Veintiuno	5	0	0.000000	/Generico_4/6_Circulacion	21	0	22153830	18.948550	OESTE	17.908700	ESTE	15.567553	Prensa Libre	41	0
9.000000	...................	37	2	0	9.490769	--	4.729231	XEW	4.395385	GUATEVISION	1105	0	9.000000	.......xx....x.....	37	2	0	9.490769	--	4.729231	XEW	4.395385	GUATEVISION	1105	0	9.000000	xxxx...............	37	2	0	9.490769	--	4.729231	XEW	4.395385	GUATEVISION	1105	0	10.000000	/Generico_4/1_Anunciante	37	2	10	6.004053	--	2.294081	GUATEVISION	2.064836	XEW	29051	0
14.000000	...................	42	3	0	5.109231	CORTE	5.040000	FRANJA MUSICAL	2.576923	PELICULA	634	0	14.000000	........x.x.....x.x	42	3	0	5.109231	CORTE	5.040000	FRANJA MUSICAL	2.576923	PELICULA	634	0	14.000000	..x..x.xxxxxx......	42	3	0	5.109231	CORTE	5.040000	FRANJA MUSICAL	2.576923	PELICULA	634	0	19.000000	/Generico_4/35_Soporte	84	2	2	4.888392	CORTE	1.406527	FRANJA MUSICAL GUA	1.110296	NOTI7 MATUTINO	41453	0
22.000000	........x...x......	46	3	0	40.092308	PROGRAMAS TELEVISIVOS	2.766154	RADIOEMISORAS	2.703077	LOTERIAS, JUEGOS, AZAR Y RIFAS, POR TELEFONO	283	0	22.000000	x.xx.xxx...xxxxx.xx	46	3	0	40.092308	PROGRAMAS TELEVISIVOS	2.766154	RADIOEMISORAS	2.703077	LOTERIAS, JUEGOS, AZAR Y RIFAS, POR TELEFONO	283	0	22.000000	..............x....	46	3	0	40.092308	PROGRAMAS TELEVISIVOS	2.766154	RADIOEMISORAS	2.703077	LOTERIAS, JUEGOS, AZAR Y RIFAS, POR TELEFONO	283	0	22.000000	/Generico_4/5_Categoria	47	3	0	25.296128	PROGRAMAS TELEVISIVOS	3.339692	CANALES DE TELEVISION	3.278796	RADIOEMISORAS	512	0
10.000000	...................	25	18	31459	31.913181	Early: 12:00 A 18:00	31.886348	Day: 06:00 A 12:00	23.317731	Prime: 18:00 A 22:30	5	0	10.000000	...................	25	18	31459	31.913181	Early: 12:00 A 18:00	31.886348	Day: 06:00 A 12:00	23.317731	Prime: 18:00 A 22:30	5	0	10.000000	...................	25	18	31459	31.913181	Early: 12:00 A 18:00	31.886348	Day: 06:00 A 12:00	23.317731	Prime: 18:00 A 22:30	5	0	9.000000	/Generico_4/18_Franja	25	0	12208573	32.667321	Early: 12:00 A 18:00	28.225892	Day: 06:00 A 12:00	26.727392	Prime: 18:00 A 22:30	5	0
51.000000	...................	54	50	0	51.601538	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/TV_GUA	28.567692	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/TV_GUA/	16.200000	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/RADIO_GUA/	4	0	51.000000	...................	54	50	0	51.601538	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/TV_GUA	28.567692	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/TV_GUA/	16.200000	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/RADIO_GUA/	4	0	51.000000	...................	54	50	0	51.601538	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/TV_GUA	28.567692	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/TV_GUA/	16.200000	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/RADIO_GUA/	4	0	51.000000	/Generico_4/43_www2	57	31	76864	45.343312	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/TV_GUA	26.519975	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/RADIO_GUA/	21.498095	ftp://spotsftpgua:Ftpgu4t3m4l4@181.48.50.21/TV_GUA/	7	0
18.000000	x.xxxxxx.xxx.xx..xx	37	1	0	4.729231	XEW, ANUNCIOS DE CANAL	4.172308	INICIA PROGRAMA	4.144615	TERMINA PROGRAMA	1550	0	18.000000	xxx.xxx.xxxxxxxxxx.	37	1	0	4.729231	XEW, ANUNCIOS DE CANAL	4.172308	INICIA PROGRAMA	4.144615	TERMINA PROGRAMA	1550	0	18.000000	................x..	37	1	0	4.729231	XEW, ANUNCIOS DE CANAL	4.172308	INICIA PROGRAMA	4.144615	TERMINA PROGRAMA	1550	0	21.000000	/Generico_4/32_Producto	46	1	0	2.841685	INICIA PROGRAMA	2.814093	TERMINA PROGRAMA	2.064664	XEW, ANUNCIOS DE CANAL	100452	0
0.000000	NNNNNNNNNNNNNNNNNNN	2	0	63166	90.130862	N	6.161396	RE	1.417666	BA	7	0	0.000000	NNNNNNNNNNNNNNNNNNN	2	0	63166	90.130862	N	6.161396	RE	1.417666	BA	7	0	0.000000	NNNNNNNNNNNNNNNNNNN	2	0	63166	90.130862	N	6.161396	RE	1.417666	BA	7	0	0.000000	/Generico_4/16_Est	3	0	22579830	92.592908	N	3.875980	BA	1.245519	AR	64	0
6.000000	...................	14	6	15352	18.685546	NOVELAS	17.150741	SERIES	14.024734	INFANTILES	15	0	6.000000	NNNNNNNNNNNNNNNNNNN	14	0	15352	18.685546	NOVELAS	17.150741	SERIES	14.024734	INFANTILES	15	0	6.000000	...................	14	6	15352	18.685546	NOVELAS	17.150741	SERIES	14.024734	INFANTILES	15	0	5.000000	/Generico_4/19_Genero	22	4	7310984	18.210789	NOVELAS	16.271742	SERIES	12.874850	PELICULAS	38	0
7.000000	...................	7	7	0	100.000000	DIRECTO					1	0	7.000000	...................	7	7	0	100.000000	DIRECTO					1	0	7.000000	...................	7	7	0	100.000000	DIRECTO					1	0	7.000000	/Generico_4/20_Holding	9	7	0	99.999996	DIRECTO	0.000004	COMERCIAL			2	0
30.000000	...................	31	31	1	100.000000	http://204.51.113.172/videosgt/					1	0	30.000000	...................	31	31	1	100.000000	http://204.51.113.172/videosgt/					1	0	30.000000	...................	31	31	1	100.000000	http://204.51.113.172/videosgt/					1	0	30.000000	/Generico_4/42_www1	31	3	167353	96.638457	http://204.51.113.172/videosgt/	3.329217	http://204.51.113.172/pe	0.006565	OESTE	12	0
9.000000	...................	19	5	0	75.156923	COMERCIAL	8.318462	INICIO FIN PROGRAMA	7.666154	LOGOS	12	0	9.000000	...................	19	5	0	75.156923	COMERCIAL	8.318462	INICIO FIN PROGRAMA	7.666154	LOGOS	12	0	9.000000	...................	19	5	0	75.156923	COMERCIAL	8.318462	INICIO FIN PROGRAMA	7.666154	LOGOS	12	0	9.000000	/Generico_4/2_Aviso	19	4	781767	78.422590	COMERCIAL	5.859425	INICIO FIN PROGRAMA	4.451066	Cuna	23	0
7.000000	...................	7	7	0	100.000000	01Ene07					1	0	7.000000	...................	7	7	0	100.000000	01Ene07					1	0	7.000000	...................	7	7	0	100.000000	01Ene07					1	0	6.000000	/Generico_4/26_Mes	7	5	0	2.238691	01Oct15	2.185353	01Jul15	2.181407	01Ago15	112	0
50.000000	............xxx....	52	18	0	4.729231	http://204.51.113.172/videosgt/CB/DISCO/33017.wmv	3.669231	http://204.51.113.172/videosgt/TV/DISCO/6946.wmv	2.932308	http://204.51.113.172/videosgt/TV/DISCO/36088.wmv	4696	0	50.000000	.............x...x.	52	18	0	4.729231	http://204.51.113.172/videosgt/CB/DISCO/33017.wmv	3.669231	http://204.51.113.172/videosgt/TV/DISCO/6946.wmv	2.932308	http://204.51.113.172/videosgt/TV/DISCO/36088.wmv	4696	0	50.000000	xxxxxx..xxxxxx.xxxx	52	18	0	4.729231	http://204.51.113.172/videosgt/CB/DISCO/33017.wmv	3.669231	http://204.51.113.172/videosgt/TV/DISCO/6946.wmv	2.932308	http://204.51.113.172/videosgt/TV/DISCO/36088.wmv	4696	0	50.000000	/Generico_4/9_Concatenar 1	54	15	76864	2.053225	http://204.51.113.172/videosgt/CB/DISCO/33017.wmv	1.687569	http://204.51.113.172/videosgt/TV/DISCO/13696.wmv	1.687294	http://204.51.113.172/videosgt/TV/DISCO/10555.wmv	1655681	0
0.000000	NNNNNNNNNNNNNNNNNNN	15	0	64169	55.234657	Prensa Libre	17.087846	Nuestro Diario	13.959085	Siglo Veintiuno	5	0	0.000000	NxNNNNx.NNNNNx..NxN	15	0	64169	55.234657	Prensa Libre	17.087846	Nuestro Diario	13.959085	Siglo Veintiuno	5	0	0.000000	NNNNNNNNNNNNNNNNNNN	15	0	64169	55.234657	Prensa Libre	17.087846	Nuestro Diario	13.959085	Siglo Veintiuno	5	0	2.000000	/Generico_4/4_Cadena	30	0	18644386	26.424545	CLARO TV	24.972943	CONVERGENCE	8.299683	Eugua	109	0
8.000000	...................	37	1	0	17.618462	--	4.729231	XEW	4.350769	GUATEVISION	1190	0	8.000000	............xx.xxxx	37	1	0	17.618462	--	4.729231	XEW	4.350769	GUATEVISION	1190	0	8.000000	.....xx.x.x.x...x..	37	1	0	17.618462	--	4.729231	XEW	4.350769	GUATEVISION	1190	0	9.000000	/Generico_4/24_Marca	37	1	0	6.062550	--	4.282903	<MARCA NO ASIGNADA>	2.367854	XEW	28980	0
