,block_1,block_2,block_3,db_1_max,db_1_min,db_1_null,db_1_unique,db_2_max,db_2_min,db_2_null,db_2_unique,db_3_max,db_3_min,db_3_null,db_3_unique,max,min,name,null_count,path,random_1,random_2,random_3,size,top_1_percent,top_1_value,top_2_percent,top_2_value,top_3_percent,top_3_value,unique,zero_count
36,NNNNNNNNNNNNNNNNNNNN,NNxNNNNxxxxNNxxxxNNx,NNNNNNNNNNNNNNNNNNNN,0.920854846868789,-0.288888888888889,62081,2743,0.257142857142857,-0.62258064516129,60398,4405,0.333333333333333,-0.4,60954,3831,0.9375,-0.993548387096774,Redfin1_4/35_price_drops_yoy.double,2847738,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/35_price_drops_yoy.double,,,,3030055,0.0,0.0,0.0,-0.0166666666666667,0.0,0.0166666666666667,148714,647
37,xxxx.NxxxNNx.xxxxxNx,.xxxxxxxxxxxxxxxxxxx,.xxxxxxx.xxxxxxxxxxx,1.0,-1.0,7072,17325,1.0,-1.0,11286,18877,1.0,-1.0,6865,21461,1.0,-1.0,Redfin1_4/41_sold_above_list_yoy.double,415743,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/41_sold_above_list_yoy.double,-0.25,0.0,0.0,3030055,17.8,0.0,1.4,0.5,1.2,-0.5,465188,540114
38,xxxxxxxxx.xxxxx.xxx.,NNNNNNNNNNNNNNNNNNNN,xxxxxxxxxxxxxxxxxxxx,16.0,-0.952380952380952,13948,7813,766.0,-0.962962962962963,11552,6193,54.0,-0.978723404255319,15193,6639,7572.0,-0.991525423728814,Redfin1_4/29_new_listings_yoy.double,629002,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/29_new_listings_yoy.double,0.705882352941176,,0.478260869565217,3030055,6.0,0.0,2.1,1.0,1.9,-0.5,69394,182588
39,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,12375000.0,1.0,0,10133,11200000.0,149.0,307,10648,549999999.0,123.0,0,10296,888888888.0,1.0,Redfin1_4/24_median_sale_price.double,6561,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/24_median_sale_price.double,187750.0,100000.0,175900.0,3030055,0.5,150000.0,0.5,125000.0,0.5,175000.0,121658,0
40,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,1.88235294117647,0.500166722240747,2665,50406,1.83461538461538,0.5,2563,49391,2.0,0.5,2155,50196,2.0,0.5,Redfin1_4/2_avg_sale_to_list.double,105065,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/2_avg_sale_to_list.double,0.980974943135018,0.961452221367906,0.980940418885689,3030055,5.1,1.0,0.1,0.909090909090909,0.0,0.933333333333333,2122783,0
41,xx.xxxxNNxxxx.x.xxxx,xxxxxxxxxxxxNNxxxxxx,xxxxxxxxNxxxxxxxNNxx,5200000.0,995.0,7216,9720,13799000.0,600.0,6560,9425,9875000.0,500.0,5352,9303,999999999.0,100.0,Redfin1_4/18_median_list_price.double,240730,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/18_median_list_price.double,467450.0,149900.0,365000.0,3030055,0.6,149900.0,0.5,139900.0,0.5,129900.0,94537,0
42,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,2372.0,1.0,654,1081,1229.0,1.0,4173,1208,1017.0,1.0,3582,938,2527.0,1.0,Redfin1_4/12_median_dom.double,125884,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/12_median_dom.double,37.5,126.0,61.0,3030055,0.8,14.0,0.8,42.0,0.7,49.0,2796,0
43,xxxxxxxxxxxNxxxxxxxx,...xxxxxxxxxxx.xxNxx,....................,1.0,-1.0,3463,17962,1.0,-1.0,4567,15369,1.0,-1.0,3465,17774,1.0,-1.0,Redfin1_4/40_sold_above_list_mom.double,166278,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/40_sold_above_list_mom.double,0.0183276059564719,0.0,0.0,3030055,29.1,0.0,0.9,0.166666666666667,0.9,-0.166666666666667,443094,882622
44,xxxxxxxxxxxxxxxxxxxx,NNxxNNNNNNNNNNNxNNNN,xxxxxxxxxxxxxxxxxxxx,256.42051025641,-0.992465753424657,10589,42401,150.92,-0.994761171032358,11668,43036,374.0,-0.999088838268793,11010,42137,1464.90909090909,-0.999876381909548,Redfin1_4/20_median_list_price_yoy.double,591605,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/20_median_list_price_yoy.double,-0.0653329165364176,,0.155327342747112,3030055,0.7,0.0,0.1,0.1,0.1,0.111111111111111,917182,21347
45,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,44548.8416491171,0.0481468023255814,1177,51514,17000.0,0.00056369785794814,784,51127,1685.77499544574,0.00044543429844098,671,49280,850000.0,0.000158881474420083,Redfin1_4/21_median_ppsf.double,42925,/data/mt-compression/code/tools/datasets/formatted/Redfin1/4/Redfin1_4/21_median_ppsf.double,90.5219735864897,60.5413105413105,45.88743232264,3030055,0.1,100.0,0.1,83.3333333333333,0.1,125.0,1502092,0
46,..xx..xxxx.xxx.xxxxx,xx..xxxxxx.xxxx.....,xxxxxxxxxxxxx..xxxxx,1.0,0.0,0,4505,1.0,0.0,2195,4619,1.0,0.0,1924,5517,1.0,0.0,Redfin1_3/39_sold_above_list.double,24765,/data/mt-compression/code/tools/datasets/formatted/Redfin1/3/Redfin1_3/39_sold_above_list.double,0.0,1.0,0.105263157894737,3030055,32.6,0.0,3.2,0.5,3.0,0.333333333333333,50315,987343
47,NNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNN,0.5,-0.428571428571429,61291,3472,0.5,-0.428571428571429,60921,3807,0.25,-0.257142857142857,59593,5085,0.927745410438655,-0.901603877961585,Redfin1_3/34_price_drops_mom.double,2808705,/data/mt-compression/code/tools/datasets/formatted/Redfin1/3/Redfin1_3/34_price_drops_mom.double,,,,3030055,0.1,0.0,0.0,0.0166666666666667,0.0,0.0238095238095238,171473,1717
48,.xxxxxxxxxxxxxxxxxxx,NNxNxxxNxxxNxxxNxxxx,NxxxxxxNxxNxxxxxxxNx,1825.5,-1346.0,8121,1730,1290.0,-1121.0,13803,1868,1605.0,-1423.0,10317,1849,2475.0,-2076.5,Redfin1_3/14_median_dom_yoy.double,520346,/data/mt-compression/code/tools/datasets/formatted/Redfin1/3/Redfin1_3/14_median_dom_yoy.double,-6.0,,,3030055,0.9,0.0,0.9,-1.0,0.8,1.0,4886,26715
49,NNNNNNNxNxNxxxxNNxxx,xxxxxxxxxxxxxxxxxxxx,NxxNNxNxxxxNxxxNxxxx,22.0,-0.99884799998848,9005,36997,150.04347826087,-0.994358974358974,5078,39532,105.4375,-0.99887646065001,6056,38032,1783.85280820696,-0.999707142857143,Redfin1_3/19_median_list_price_mom.double,380594,/data/mt-compression/code/tools/datasets/formatted/Redfin1/3/Redfin1_3/19_median_list_price_mom.double,,0.0257591623036648,,3030055,9.4,0.0,0.0,0.1,0.0,0.05,803852,283981
50,Nxx.NxxxNNxxxNxx.NxN,xNNxNNxNxxNxxNxxxxxx,xxxxxxxxxxxxxxxxxx.N,198.546332465278,-0.999976965601966,5905,48007,1232.0,-0.999709857175773,3928,49272,1191.28082191781,-0.980987378175427,3745,47541,128022.076923077,-0.999988910541052,Redfin1_3/22_median_ppsf_mom.double,182634,/data/mt-compression/code/tools/datasets/formatted/Redfin1/3/Redfin1_3/22_median_ppsf_mom.double,,0.0450332973657026,-0.00529548810237113,3030055,11.8,0.0,0.0,0.0666666666666667,0.0,0.111111111111111,2135968,358204
51,xxxxxxNxxNxxxxxxxxxx,xxxxxxxxxxxxxxxNxxxx,xxxxxxxxxxxx.xxNxxxx,1251.0,-1165.0,6975,1418,2124.0,-2023.0,3634,1288,1298.5,-1165.0,6888,1373,2220.0,-2407.0,Redfin1_3/13_median_dom_mom.double,265518,/data/mt-compression/code/tools/datasets/formatted/Redfin1/3/Redfin1_3/13_median_dom_mom.double,144.0,-82.5,0.0,3030055,13.5,0.0,2.0,1.0,1.8,-1.0,4085,410223
52,xxxxxxxxxxxxxxxxxxxx,xxxNxxxxxxNxxxxxxxx.,xxxxxxxxxx.xxxxxxxxx,0.618931445250657,-0.786807924203273,5176,51205,1.13263529384268,-0.972242600556539,5187,50339,0.790367658821647,-0.714285714285714,4427,51519,1.36207388414791,-1.32433244325768,Redfin1_3/3_avg_sale_to_list_mom.double,240785,/data/mt-compression/code/tools/datasets/formatted/Redfin1/3/Redfin1_3/3_avg_sale_to_list_mom.double,-0.0258776339493386,0.0138006040834644,0.00334780241161214,3030055,10.2,0.0,0.0,1.11022302462516e-16,0.0,-1.11022302462516e-16,2297378,307905
53,xxxxxxxNxxxNxxxxxxxx,xxxxxxxxxxxxxxxxxxxx,.xxxxxxxxxxxxxxxxxxx,17.0,-0.933333333333333,7616,5730,29.0,-0.916666666666667,8754,5231,33.0,-0.967741935483871,6453,6439,638.5,-0.995670995670996,Redfin1_3/8_homes_sold_yoy.double,377527,/data/mt-compression/code/tools/datasets/formatted/Redfin1/3/Redfin1_3/8_homes_sold_yoy.double,2.75,-0.204081632653061,0.0,3030055,9.5,0.0,3.7,1.0,3.2,-0.5,60497,288748
